Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Early prediction of septic shock in hospitalized patients,"Thiel, Steven W.; Kollef, Marin H.; Rosini, Jamie M.; Micek, Scott T.; Shannon, William; Doherty, Joshua A.","BACKGROUND: Hospitalized patients who develop severe sepsis have significant morbidity and mortality. Early goal-directed therapy has been shown to decrease mortality in severe sepsis and septic shock, though a delay in recognizing impending sepsis often precludes this intervention. OBJECTIVE(S): To identify early predictors of septic shock among hospitalized non-intensive care unit (ICU) medical patients. DESIGN: Retrospective cohort analysis. SETTING: A 1200-bed academic medical center. PATIENTS: Derivation cohort consisted of 13,785 patients hospitalized during 2005. The validation cohorts consisted of 13,737 patients during 2006 and 13,937 patients from 2007. INTERVENTION: Development and prospective validation of a prediction model using Recursive Partitioning And Regression Tree (RPART) analysis. METHOD(S): RPART analysis of routine laboratory and hemodynamic variables from the derivation cohort to identify predictors prior to the occurrence of shock. Two models were generated, 1 including arterial blood gas (ABG) data and 1 without. RESULT(S): When applied to the 2006 cohort, 347 (54.7%) and 121 (19.1%) of the 635 patients developing septic shock were correctly identified by the 2 models, respectively. For the 2007 patients, the 2 models correctly identified 367 (55.0%) and 102 (15.3%) of the 667 patients developing septic shock, respectively. CONCLUSION(S): Readily available data can be employed to predict non-ICU patients who develop septic shock several hours prior to ICU admission. © 2010 Society of Hospital Medicine.",2010,,Journal of Hospital Medicine,5,1,19-25,,http://dx.doi.org/10.1002/jhm.530,,#1415,Thiel 2010,"",""
Transatlantic transferability of a new reinforcement learning model for optimizing haemodynamic treatment for critically ill patients with sepsis,"Ahrendt, Jonas; Guo, Tingjie; Thoral, Patrick; Girbes, Armand R. J.; Elbers, Paul W. G.; Roggeveen, Luca; el Hassouni, Ali; Fleuren, Lucas; Hoogendoorn, Mark","Introduction: In recent years, reinforcement learning (RL) has gained traction in the healthcare domain. In particular, RL methods have been explored for haemodynamic optimization of septic patients in the Intensive Care Unit. Most hospitals however, lack the data and expertise for model development, necessitating transfer of models developed using external datasets. This approach assumes model generalizability across different patient populations, the validity of which has not previously been tested. In addition, there is limited knowledge on safety and reliability. These challenges need to be addressed to further facilitate implementation of RL models in clinical practice. Method(s): We developed and validated a new reinforcement learning model for hemodynamic optimization in sepsis on the MIMIC intensive care database from the USA using a dueling double deep Q network. We then transferred this model to the European AmsterdamUMCdb intensive care database. T-Distributed Stochastic Neighbor Embedding and Sequential Organ Failure Assessment scores were used to explore the differences between the patient populations. We apply off-policy policy evaluation methods to quantify model performance. In addition, we introduce and apply a novel deep policy inspection to analyse how the optimal policy relates to the different phases of sepsis and sepsis treatment to provide interpretable insight in order to assess model safety and reliability. Result(s): The off-policy evaluation revealed that the optimal policy outperformed the physician policy on both datasets despite marked differences between the two patient populations and physician's policies. Our novel deep policy inspection method showed insightful results and unveiled that the model could initiate therapy adequately and adjust therapy intensity to illness severity and disease progression which indicated safe and reliable model behaviour. Compared to current physician behavior, the developed policy prefers a more liberal use of vasopressors with a more restrained use of fluid therapy in line with previous work. Conclusion(s): We created a reinforcement learning model for optimal bedside hemodynamic management and demonstrated model transferability between populations from the USA and Europe for the first time. We proposed new methods for deep policy inspection integrating expert domain knowledge. This is expected to facilitate progression to bedside clinical decision support for the treatment of critically ill patients.Copyright © 2020",2021,,Artificial Intelligence in Medicine,112,,102003,,http://dx.doi.org/10.1016/j.artmed.2020.102003,,#3693,Ahrendt 2021,Finneas Catling (2022-03-05 04:44:32)(Included): Good idea - I'll add them to covidence and see if there are any non-duplicates; Zuzanna Bien (2022-02-04 22:14:27)(Select): they include a table of papers on reinforcement learning in sepsis -might be worth cross checking if we caught all the papers involved ; ,""
Predicting Progression to Septic Shock in the Emergency Department Using an Externally Generalizable Machine-Learning Algorithm,"Carlile, Morgan; Hayden, Stephen R.; Wardi, Gabriel; Shashikumar, Supreeth; Nemati, Shamim; Holder, Andre","Study objective: Machine-learning algorithms allow improved prediction of sepsis syndromes in the emergency department (ED), using data from electronic medical records. Transfer learning, a new subfield of machine learning, allows generalizability of an algorithm across clinical sites. We aim to validate the Artificial Intelligence Sepsis Expert for the prediction of delayed septic shock in a cohort of patients treated in the ED and demonstrate the feasibility of transfer learning to improve external validity at a second site. Method(s): This was an observational cohort study using data from greater than 180,000 patients from 2 academic medical centers between 2014 and 2019, using multiple definitions of sepsis. The Artificial Intelligence Sepsis Expert algorithm was trained with 40 input variables at the development site to predict delayed septic shock (occurring greater than 4 hours after ED triage) at various prediction windows. We then validated the algorithm at a second site, using transfer learning to demonstrate generalizability of the algorithm. Result(s): We identified 9,354 patients with severe sepsis, of whom 723 developed septic shock at least 4 hours after triage. The Artificial Intelligence Sepsis Expert algorithm demonstrated excellent area under the receiver operating characteristic curve (>0.8) at 8 and 12 hours for the prediction of delayed septic shock. Transfer learning significantly improved the test characteristics of the Artificial Intelligence Sepsis Expert algorithm and yielded comparable performance at the validation site. Conclusion(s): The Artificial Intelligence Sepsis Expert algorithm accurately predicted the development of delayed septic shock. The use of transfer learning allowed significantly improved external validity and generalizability at a second site. Future prospective studies are indicated to evaluate the clinical utility of this model.Copyright © 2020 American College of Emergency Physicians",2021,,Annals of Emergency Medicine,77,4,395-406,,http://dx.doi.org/10.1016/j.annemergmed.2020.11.007,,#3714,Carlile 2021,"",""
Septic shock prediction for ICU patients via coupled HMM walking on sequential contrast patterns,"Ghosh, Shameek; Li, Jinyan; Cao, Longbing; Ramamohanarao, Kotagiri","Background and objective Critical care patient events like sepsis or septic shock in intensive care units (ICUs) are dangerous complications which can cause multiple organ failures and eventual death. Preventive prediction of such events will allow clinicians to stage effective interventions for averting these critical complications. Methods It is widely understood that physiological conditions of patients on variables such as blood pressure and heart rate are suggestive to gradual changes over a certain period of time, prior to the occurrence of a septic shock. This work investigates the performance of a novel machine learning approach for the early prediction of septic shock. The approach combines highly informative sequential patterns extracted from multiple physiological variables and captures the interactions among these patterns via coupled hidden Markov models (CHMM). In particular, the patterns are extracted from three non-invasive waveform measurements: the mean arterial pressure levels, the heart rates and respiratory rates of septic shock patients from a large clinical ICU dataset called MIMIC-II. Evaluation and results For baseline estimations, SVM and HMM models on the continuous time series data for the given patients, using MAP (mean arterial pressure), HR (heart rate), and RR (respiratory rate) are employed. Single channel patterns based HMM (SCP-HMM) and multi-channel patterns based coupled HMM (MCP-HMM) are compared against baseline models using 5-fold cross validation accuracies over multiple rounds. Particularly, the results of MCP-HMM are statistically significant having a p-value of 0.0014, in comparison to baseline models. Our experiments demonstrate a strong competitive accuracy in the prediction of septic shock, especially when the interactions between the multiple variables are coupled by the learning model. Conclusions It can be concluded that the novelty of the approach, stems from the integration of sequence-based physiological pattern markers with the sequential CHMM model to learn dynamic physiological behavior, as well as from the coupling of such patterns to build powerful risk stratification models for septic shock patients.Copyright © 2016",2017,,Journal of Biomedical Informatics,66,,19-31,,http://dx.doi.org/10.1016/j.jbi.2016.12.010,,#2499,Ghosh 2017,"",""
Identification of subclasses of sepsis that showed different clinical outcomes and responses to amount of fluid resuscitation: A latent profile analysis 11 Medical and Health Sciences 1103 Clinical Sciences,"Zhang, Zhongheng; Hong, Yucai; Zhang, Gensheng; Goyal, Hemant; Mo, Lei","Background and objective: Sepsis is a heterogeneous disease and identification of its subclasses may facilitate and optimize clinical management. This study aimed to identify subclasses of sepsis and its responses to different amounts of fluid resuscitation. Method(s): This was a retrospective study conducted in an intensive care unit at a large tertiary care hospital. The patients fulfilling the diagnostic criteria of sepsis from June 1, 2001 to October 31, 2012 were included. Clinical and laboratory variables were used to perform the latent profile analysis (LPA). A multivariable logistic regression model was used to explore the independent association of fluid input and mortality outcome. Result(s): In total, 14,993 patients were included in the study. The LPA identified four subclasses of sepsis: profile 1 was characterized by the lowest mortality rate and having the largest proportion and was considered the baseline type; profile 2 was characterized by respiratory dysfunction; profile 3 was characterized by multiple organ dysfunction (kidney, coagulation, liver, and shock), and profile 4 was characterized by neurological dysfunction. Profile 3 showed the highest mortality rate (45.4%), followed by profile 4 (27.4%), 2 (18.2%), and 1 (16.9%). Overall, the amount of fluid needed for resuscitation was the largest on day 1 (median 5115 mL, interquartile range (IQR) 2662 to 8800 mL) and decreased rapidly on day 2 (median 2140 mL, IQR 900 to 3872 mL). Higher cumulative fluid input in the first 48 h was associated with reduced risk of hospital mortality for profile 3 (odds ratio (OR) 0.89, 95% CI 0.83 to 0.95 for each 1000 mL increase in fluid input) and with increased risk of death for profile 4 (OR 1.20, 95% CI 1.11 to 1.30). Conclusion(s): The study identified four subphenotypes of sepsis, which showed different mortality outcomes and responses to fluid resuscitation. Prospective trials are needed to validate our findings.Copyright © 2018 The Author(s).",2018,,Critical Care,22,1,347,,http://dx.doi.org/10.1186/s13054-018-2279-3,,#2954,Zhang 2018,"Finneas Catling (2022-01-13 21:12:23)(Select): ""Since the different subclasses showed different clinical presentations and responses to the fluid
strategy, our sepsis classification could be used to design
future trials"" - probably worth including this paper for the purpose of methodological diversity, noting that it doesn't provide very specific recommendations; Finneas Catling (2021-11-19 19:39:22)(Screen): Doesn't seem to guide therapy; ",""
A Locally Optimized Data-Driven Tool to Predict Sepsis-Associated Vasopressor Use in the ICU,"Holder, Andre L.; Shashikumar, Supreeth P.; Wardi, Gabriel; Buchman, Timothy G.; Nemati, Shamim","OBJECTIVES: To train a model to predict vasopressor use in ICU patients with sepsis and optimize external performance across hospital systems using domain adaptation, a transfer learning approach. DESIGN: Observational cohort study. SETTING: Two academic medical centers from January 2014 to June 2017. PATIENTS: Data were analyzed from 14,512 patients (9,423 at the development site and 5,089 at the validation site) who were admitted to an ICU and met Center for Medicare and Medicaid Services definition of severe sepsis either before or during the ICU stay. Patients were excluded if they never developed sepsis, if the ICU length of stay was less than 8 hours or more than 20 days or if they developed shock up to the first 4 hours of ICU admission. MEASUREMENTS AND MAIN RESULTS: Forty retrospectively collected features from the electronic medical records of adult ICU patients at the development site (four hospitals) were used as inputs for a neural network Weibull-Cox survival model to derive a prediction tool for future need of vasopressors. Domain adaptation updated parameters to optimize model performance in the validation site (two hospitals), a different healthcare system over 2,000 miles away. The cohorts at both sites were randomly split into training and testing sets (80% and 20%, respectively). When applied to the test set in the development site, the model predicted vasopressor use 4-24 hours in advance with an area under the receiver operator characteristic curve, specificity, and positive predictive value ranging from 0.80 to 0.81, 56.2% to 61.8%, and 5.6% to 12.1%, respectively. Domain adaptation improved performance of the model to predict vasopressor use within 4 hours at the validation site (area under the receiver operator characteristic curve 0.81 [CI, 0.80-0.81] from 0.77 [CI, 0.76-0.77], p < 0.01; specificity 59.7% [CI, 58.9-62.5%] from 49.9% [CI, 49.5-50.7%], p < 0.01; positive predictive value 8.9% [CI, 8.5-9.4%] from 7.3 [7.1-7.4%], p < 0.01). CONCLUSION(S): Domain adaptation improved performance of a model predicting sepsis-associated vasopressor use during external validation.",2021,,Critical Care Medicine,,,,,http://dx.doi.org/10.1097/CCM.0000000000005175,,#3763,Holder 2021,"Finneas Catling (2021-12-11 00:26:22)(Select): Include as good example of simply replicating human behaviour; Finneas Catling (2021-12-02 02:49:13)(Select): Predicts noradrenaline administration in sepsis (couldn't strictly predict septic shock as had insufficient data on fluid administration and lactate). There seems no intention to use this model as a vasopressor recommender system, in fact I'm not sure what it is useful for except prognostication; Finneas Catling (2021-12-02 02:33:42)(Select): Improves PPV for septic shock from 7.3 to 8.9%! I wonder if this paper would have gotten into CCM if it wasn't written by the editor...; ",""
InferNet for Delayed Reinforcement Tasks: Addressing the Temporal Credit Assignment Problem,"Ausin, Markel Sanz; Azizsoltani, Hamoon; Ju, Song; Kim, Yeo Jin; Chi, Min","The temporal Credit Assignment Problem (CAP) is a well-known and challenging task in AI. While Reinforcement Learning (RL), especially Deep RL, works well when immediate rewards are available, it can fail when only delayed rewards are available or when the reward function is noisy. In this work, we propose delegating the CAP to a Neural Network-based algorithm named InferNet that explicitly learns to infer the immediate rewards from the delayed rewards. The effectiveness of InferNet was evaluated on two online RL tasks: a simple GridWorld and 40 Atari games; and two offline RL tasks: GridWorld and a real-life Sepsis treatment task. For all tasks, the effectiveness of using the InferNet inferred rewards is compared against the immediate and the delayed rewards with two settings: with noisy rewards and without noise. Overall, our results show that the effectiveness of InferNet is robust against noisy reward functions and is an effective add-on mechanism for solving temporal CAP in a wide range of RL tasks, from classic RL simulation environments to a real-world RL problem and for both online and offline learning.",2021,,,,,,,,,#82,Ausin 2021,Finneas Catling (2022-03-20 22:30:21)(Included): We should use the IEEE publication not the version on arxiv; Finneas Catling (2022-01-27 01:59:00)(Select): Action space is different from the AI Clinician but still includes vasopressors; ,""
Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,"Peng, Xuefeng; Ding, Yi; Wihl, David; Gottesman, Omer; Komorowski, Matthieu; Lehman, Li-wei H.; Ross, Andrew; Faisal, Aldo; Doshi-Velez, Finale","Sepsis is the leading cause of mortality in the ICU. It is challenging to manage because individual patients respond differently to treatment. Thus, tailoring treatment to the individual patient is essential for the best outcomes. In this paper, we take steps toward this goal by applying a mixture-of-experts framework to personalize sepsis treatment. The mixture model selectively alternates between neighbor-based (kernel) and deep reinforcement learning (DRL) experts depending on patient's current history. On a large retrospective cohort, this mixture-based approach outperforms physician, kernel only, and DRL-only experts.",2019,,,,,,,,,#53,Peng 2019,"",""
"Multicentre validation of a sepsis prediction algorithm using only vital sign data in the emergency department, general ward and ICU","Mao, Qingqing; Jay, Melissa; Hoffman, Jana L.; Calvert, Jacob; Das, Ritankar; Barton, Christopher; Shimabukuro, David; Shieh, Lisa; Chettipally, Uli; Fletcher, Grant; Kerem, Yaniv; Zhou, Yifan","Objectives We validate a machine learning-based sepsis-prediction algorithm (InSight) for the detection and prediction of three sepsis-related gold standards, using only six vital signs. We evaluate robustness to missing data, customisation to site-specific data using transfer learning and generalisability to new settings. Design A machine-learning algorithm with gradient tree boosting. Features for prediction were created from combinations of six vital sign measurements and their changes over time. Setting A mixed-ward retrospective dataset from the University of California, San Francisco (UCSF) Medical Center (San Francisco, California, USA) as the primary source, an intensive care unit dataset from the Beth Israel Deaconess Medical Center (Boston, Massachusetts, USA) as a transfer-learning source and four additional institutions' datasets to evaluate generalisability. Participants 684 443 total encounters, with 90 353 encounters from June 2011 to March 2016 at UCSF. Interventions None. Primary and secondary outcome measures Area under the receiver operating characteristic (AUROC) curve for detection and prediction of sepsis, severe sepsis and septic shock. Results For detection of sepsis and severe sepsis, InSight achieves an AUROC curve of 0.92 (95% CI 0.90 to 0.93) and 0.87 (95% CI 0.86 to 0.88), respectively. Four hours before onset, InSight predicts septic shock with an AUROC of 0.96 (95% CI 0.94 to 0.98) and severe sepsis with an AUROC of 0.85 (95% CI 0.79 to 0.91). Conclusions InSight outperforms existing sepsis scoring systems in identifying and predicting sepsis, severe sepsis and septic shock. This is the first sepsis screening system to exceed an AUROC of 0.90 using only vital sign inputs. InSight is robust to missing data, can be customised to novel hospital data using a small fraction of site data and retains strong discrimination across all institutions.Copyright © Article author(s) (or their employer(s) unless otherwise stated in the text of the article) 2018. All rights reserved. No commercial use is permitted unless otherwise expressly granted.",2018,,BMJ Open,8,1,e017833,,http://dx.doi.org/10.1136/bmjopen-2017-017833,,#2846,Mao 2018,Myura Nagendran (2022-01-18 02:06:05)(Select): seen this somewhere else (identical) at full text stage. need to de-duplicate. have included for now.; ,""
Time-Aware Q-Networks: Resolving Temporal Irregularity for Deep Reinforcement Learning,"Kim, Yeo Jin; Chi, Min","Deep Reinforcement Learning (DRL) has shown outstanding performance on inducing effective action policies that maximize expected long-term return on many complex tasks. Much of DRL work has been focused on sequences of events with discrete time steps and ignores the irregular time intervals between consecutive events. Given that in many real-world domains, data often consists of temporal sequences with irregular time intervals, and it is important to consider the time intervals between temporal events to capture latent progressive patterns of states. In this work, we present a general Time-Aware RL framework: Time-aware Q-Networks (TQN), which takes into account physical time intervals within a deep RL framework. TQN deals with time irregularity from two aspects: 1) elapsed time in the past and an expected next observation time for time-aware state approximation, and 2) action time window for the future for time-aware discounting of rewards. Experimental results show that by capturing the underlying structures in the sequences with time irregularities from both aspects, TQNs significantly outperform DQN in four types of contexts with irregular time intervals. More specifically, our results show that in classic RL tasks such as CartPole and MountainCar and Atari benchmark with randomly segmented time intervals, time-aware discounting alone is more important while in the real-world tasks such as nuclear reactor operation and septic patient treatment with intrinsic time intervals, both time-aware state and time-aware discounting are crucial. Moreover, to improve the agent's learning capacity, we explored three boosting methods: Double networks, Dueling networks, and Prioritized Experience Replay, and our results show that for the two real-world tasks, combining all three boosting methods with TQN is especially effective.",2021,,,,,,,,,#89,Kim 2021,"",""
Real-time interactive artificial intelligence of things–based prediction for adverse outcomes in adult patients with pneumonia in the emergency department,"Chen, Y. M.; Kao, Y.; Hsu, C. C.; Chen, C. J.; Ma, Y. S.; Shen, Y. T.; Liu, T. L.; Hsu, S. L.; Lin, H. J.; Wang, J. J.; Huang, C. C.; Liu, C. F.","Background: Artificial intelligence of things (AIoT) may be a solution for predicting adverse outcomes in emergency department (ED) patients with pneumonia; however, this issue remains unclear. Therefore, we conducted this study to clarify it. Methods: We identified 52,626 adult ED patients with pneumonia from three hospitals between 2010 and 2019 for this study. Thirty-three feature variables from electronic medical records were used to construct an artificial intelligence (AI) model to predict sepsis or septic shock, respiratory failure, and mortality. After comparisons of the predictive accuracies among logistic regression, random forest, support-vector machine (SVM), light gradient boosting machine (LightGBM), multilayer perceptron (MLP), and eXtreme Gradient Boosting (XGBoost), we selected the best one to build the model. We further combined the AI model with the Internet of things as AIoT, added an interactive mode, and implemented it in the hospital information system to assist clinicians with decision making in real time. We also compared the AIoT-based model with the confusion-urea-respiratory rate-blood pressure-65 (CURB-65) and pneumonia severity index (PSI) for predicting mortality. Results: The best AI algorithms were random forest for sepsis or septic shock (area under the curve [AUC] = 0.781), LightGBM for respiratory failure (AUC = 0.847), and mortality (AUC = 0.835). The AIoT-based model represented better performance than CURB-65 and PSI indicators for predicting mortality (0.835 vs. 0.681 and 0.835 vs. 0.728). Conclusions: A real-time interactive AIoT-based model might be a better tool for predicting adverse outcomes in ED patients with pneumonia. Further validation in other populations is warranted. © 2021 by the Society for Academic Emergency Medicine",2021,,Academic Emergency Medicine,,,,,10.1111/acem.14339,,#5947,Chen 2021,"Matthieu Komorowski (2022-01-26 05:04:50)(Select): ""artificial intelligence of things"" ???; ",""
Early detection of septic shock onset using interpretable machine learners,"Misra, Debdipto; Sandhu, Ranjeet; Karunakaran, Bipin; Avula, Venkatesh; Li, Jiang; Abedi, Vida; Wolk, Donna M.; Farag, Hosam A.; Mehta, Yatin B.; Kethireddy, Shravan; Zand, Ramin","Background: Developing a decision support system based on advances in machine learning is one area for strategic innovation in healthcare. Predicting a patient's progression to septic shock is an active field of translational research. The goal of this study was to develop a working model of a clinical decision support system for predicting septic shock in an acute care setting for up to 6 h from the time of admission in an integrated healthcare setting. Method(s): Clinical data from Electronic Health Record (EHR), at encounter level, were used to build a predictive model for progression from sepsis to septic shock up to 6 h from the time of admission; that is, T = 1, 3, and 6 h from admission. Eight different machine learning algorithms (Random Forest, XGBoost, C5.0, Decision Trees, Boosted Logistic Regression, Support Vector Machine, Logistic Regression, Regularized Logistic, and Bayes Generalized Linear Model) were used for model development. Two adaptive sampling strategies were used to address the class imbalance. Data from two sources (clinical and billing codes) were used to define the case definition (septic shock) using the Centers for Medicare & Medicaid Services (CMS) Sepsis criteria. The model assessment was performed using Area under Receiving Operator Characteristics (AUROC), sensitivity, and specificity. Model predictions for each feature window (1, 3 and 6 h from admission) were consolidated. Result(s): Retrospective data from April 2005 to September 2018 were extracted from the EHR, Insurance Claims, Billing, and Laboratory Systems to create a dataset for septic shock detection. The clinical criteria and billing information were used to label patients into two classes-septic shock patients and sepsis patients at three different time points from admission, creating two different case-control cohorts. Data from 45,425 unique in-patient visits were used to build 96 prediction models comparing clinical-based definition versus billing-based information as the gold standard. Of the 24 consolidated models (based on eight machine learning algorithms and three feature windows), four models reached an AUROC greater than 0.9. Overall, all the consolidated models reached an AUROC of at least 0.8820 or higher. Based on the AUROC of 0.9483, the best model was based on Random Forest, with a sensitivity of 83.9% and specificity of 88.1%. The sepsis detection window at 6 h outperformed the 1 and 3-h windows. The sepsis definition based on clinical variables had improved performance when compared to the sepsis definition based on only billing information. Conclusion(s): This study corroborated that machine learning models can be developed to predict septic shock using clinical and administrative data. However, the use of clinical information to define septic shock outperformed models developed based on only administrative data. Intelligent decision support tools can be developed and integrated into the EHR and improve clinical outcomes and facilitate the optimization of resources in real-time.Copyright © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,,Journal of Clinical Medicine,10,2,1-17,,http://dx.doi.org/10.3390/jcm10020301,,#3816,Misra 2021,"",""
Is Deep Reinforcement Learning Ready for Practical Applications in Healthcare? A Sensitivity Analysis of Duel-DDQN for Hemodynamic Management in Sepsis Patients,"Lu, MingYu; Shahn, Zachary; Sow, Daby; Doshi-Velez, Finale; Lehman, Li-wei H.","The potential of Reinforcement Learning (RL) has been demonstrated through successful applications to games such as Go and Atari. However, while it is straightforward to evaluate the performance of an RL algorithm in a game setting by simply using it to play the game, evaluation is a major challenge in clinical settings where it could be unsafe to follow RL policies in practice. Thus, understanding sensitivity of RL policies to the host of decisions made during implementation is an important step toward building the type of trust in RL required for eventual clinical uptake. In this work, we perform a sensitivity analysis on a state-of-the-art RL algorithm (Dueling Double Deep Q-Networks)applied to hemodynamic stabilization treatment strategies for septic patients in the ICU. We consider sensitivity of learned policies to input features, embedding model architecture, time discretization, reward function, and random seeds. We find that varying these settings can significantly impact learned policies, which suggests a need for caution when interpreting RL agent output.",2020,,,,,,,,,#72,Lu 2020,"",""
Temporal belief memory: Imputing missing data during RNN training,"Kim, Y. J.; Chi, M.; Lang, J.; International Joint Conferences on Artifical, Intelligence","We propose a bio-inspired approach named Temporal Belief Memory (TBM) for handling missing data with recurrent neural networks (RNNs). When modeling irregularly observed temporal sequences, conventional RNNs generally ignore the real-time intervals between consecutive observations. TBM is a missing value imputation method that considers the time continuity and captures latent missing patterns based on irregular real time intervals of the inputs. We evaluate our TBM approach with real-world electronic health records (EHRs) consisting of 52,919 visits and 4,224,567 events on a task of early prediction of septic shock. We compare TBM against multiple baselines including both domain experts' rules and the state-of-the-art missing data handling approach using both RNN and long short-term memory. The experimental results show that TBM outperforms all the competitive baseline approaches for the septic shock early prediction task. © 2018 International Joint Conferences on Artificial Intelligence. All right reserved.",2018,,"27th International Joint Conference on Artificial Intelligence, IJCAI 2018",2018-July,,2326-2332,,10.24963/ijcai.2018/322,,#5615,Kim 2018,"",""
Truly Batch Apprenticeship Learning with Deep Successor Features,"Lee, Donghun; Srinivasan, Srivatsan; Doshi-Velez, Finale","We introduce a novel apprenticeship learning algorithm to learn an expert's underlying reward structure in off-policy model-free \emph{batch} settings. Unlike existing methods that require a dynamics model or additional data acquisition for on-policy evaluation, our algorithm requires only the batch data of observed expert behavior. Such settings are common in real-world tasks---health care, finance or industrial processes ---where accurate simulators do not exist or data acquisition is costly. To address challenges in batch settings, we introduce Deep Successor Feature Networks(DSFN) that estimate feature expectations in an off-policy setting and a transition-regularized imitation network that produces a near-expert initial policy and an efficient feature representation. Our algorithm achieves superior results in batch settings on both control benchmarks and a vital clinical task of sepsis management in the Intensive Care Unit.",2019,,,,,,,,,#48,Lee 2019,"",""
DeepRite: Deep Recurrent Inverse TreatmEnt Weighting for Adjusting Time-varying Confounding in Modern Longitudinal Observational Data,"Xu, Yanbo; Xiao, Cao; Sun, Jimeng","Counterfactual prediction is about predicting outcome of the unobserved situation from the data. For example, given patient is on drug A, what would be the outcome if she switch to drug B. Most of existing works focus on modeling counterfactual outcome based on static data. However, many applications have time-varying confounding effects such as multiple treatments over time. How to model such time-varying effects from longitudinal observational data? How to model complex high-dimensional dependency in the data? To address these challenges, we propose Deep Recurrent Inverse TreatmEnt weighting (DeepRite) by incorporating recurrent neural networks into two-phase adjustments for the existence of time-varying confounding in modern longitudinal data. In phase I cohort reweighting we fit one network for emitting time dependent inverse probabilities of treatment, use them to generate a pseudo balanced cohort. In phase II outcome progression, we input the adjusted data to the subsequent predictive network for making counterfactual predictions. We evaluate DeepRite on both synthetic data and a real data collected from sepsis patients in the intensive care units. DeepRite is shown to recover the ground truth from synthetic data, and estimate unbiased treatment effects from real data that can be better aligned with the standard guidelines for management of sepsis thanks to its applicability to create balanced cohorts.",2020,,,,,,,,,#80,Xu 2020,"Myura Nagendran (2022-01-18 01:20:43)(Select): ""Furthermore, we also target at 5 other outcomes that are also important for monitoring during sepsis management"" - even counterfactual information on these would be relevant to guiding treatment. If anything more so and more nuanced than a simple septic shock predictor. I'd include but happy to discuss further when we meet; Finneas Catling (2021-09-22 01:06:45)(Screen): At full text review: are the treatment effect estimations intended to guide subsequent rx? ; ",""
Optimizing Medical Treatment for Sepsis in Intensive Care: from Reinforcement Learning to Pre-Trial Evaluation,"Li, Luchen; Albert-Smet, Ignacio; Faisal, Aldo A.","Our aim is to establish a framework where reinforcement learning (RL) of optimizing interventions retrospectively allows us a regulatory compliant pathway to prospective clinical testing of the learned policies in a clinical deployment. We focus on infections in intensive care units which are one of the major causes of death and difficult to treat because of the complex and opaque patient dynamics, and the clinically debated, highly-divergent set of intervention policies required by each individual patient, yet intensive care units are naturally data rich. In our work, we build on RL approaches in healthcare (""AI Clinicians""), and learn off-policy continuous dosing policy of pharmaceuticals for sepsis treatment using historical intensive care data under partially observable MDPs (POMDPs). POMPDs capture uncertainty in patient state better by taking in all historical information, yielding an efficient representation, which we investigate through ablations. We compensate for the lack of exploration in our retrospective data by evaluating each encountered state with a best-first tree search. We mitigate state distributional shift by optimizing our policy in the vicinity of the clinicians' compound policy. Crucially, we evaluate our model recommendations using not only conventional policy evaluations but a novel framework that incorporates human experts: a model-agnostic pre-clinical evaluation method to estimate the accuracy and uncertainty of clinician's decisions versus our system recommendations when confronted with the same individual patient history (""shadow mode"").",2020,,,,,,,,,#71,Li 2020,"Finneas Catling (2022-01-26 01:47:28)(Select): I looked for a more recent paper but can't see one on Luchen's Google Scholar; Myura Nagendran (2022-01-18 00:49:47)(Select): The AI Clinician 2.0 is includable but I think there is a more recent arrive reference that should be included. For the meantime, have put include for this one. Need to 'de-duplicate' prior to finally inclusion numbers; ",""
Multi-Objective SPIBB: Seldonian Offline Policy Improvement with Safety Constraints in Finite MDPs,"Satija, Harsh; Thomas, Philip S.; Pineau, Joelle; Laroche, Romain","We study the problem of Safe Policy Improvement (SPI) under constraints in the offline Reinforcement Learning (RL) setting. We consider the scenario where: (i) we have a dataset collected under a known baseline policy, (ii) multiple reward signals are received from the environment inducing as many objectives to optimize. We present an SPI formulation for this RL setting that takes into account the preferences of the algorithm's user for handling the trade-offs for different reward signals while ensuring that the new policy performs at least as well as the baseline policy along each individual objective. We build on traditional SPI algorithms and propose a novel method based on Safe Policy Iteration with Baseline Bootstrapping (SPIBB, Laroche et al., 2019) that provides high probability guarantees on the performance of the agent in the true environment. We show the effectiveness of our method on a synthetic grid-world safety task as well as in a real-world critical care context to learn a policy for the administration of IV fluids and vasopressors to treat sepsis.",2021,,,,,,,,,#95,Satija 2021,"",""
